N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,31,30,45,22,45
75,591,414,2775,362,2775
100,801,590,4950,541,4950
1000,12385,9773,499500,8577,499500
5000,74297,58977,12497500,54493,12497500
7500,117098,96713,28121250,86151,28121250
10000,159190,127458,49995000,118941,49995000
20000,339652,275663,199990000,258004,199990000
50000,950888,748055,1249975000,711337,1249975000
75000,1515549,1182500,2812462500,1110588,2812462500
100000,1992648,1596285,4999950000,1522743,4999950000

